provincia_iso;fecha;num_casos
A;1;0
A;2;42
A;3;3262
A;4;684
A;5;130
A;6;47
A;7;845
A;8;4196
A;9;5509
A;10;11484
A;11;13164
A;12;20107
AB;1;0
AB;2;7
AB;3;2472
AB;4;839
AB;5;193
AB;6;99
AB;7;151
AB;8;1368
AB;9;1998
AB;10;3512
AB;11;3229
AB;12;3528
AL;1;0
AL;2;1
AL;3;398
AL;4;108
AL;5;23
AL;6;37
AL;7;886
AL;8;3845
AL;9;2933
AL;10;4137
AL;11;6052
AL;12;3363
AV;1;0
AV;2;4
AV;3;1178
AV;4;543
AV;5;83
AV;6;49
AV;7;16
AV;8;524
AV;9;1097
AV;10;1728
AV;11;1139
AV;12;460
B;1;0
B;2;209
B;3;26422
B;4;14927
B;5;3760
B;6;2209
B;7;15075
B;8;23976
B;9;24015
B;10;74932
B;11;44257
B;12;40458
BA;1;0
BA;2;8
BA;3;652
BA;4;258
BA;5;60
BA;6;34
BA;7;281
BA;8;1161
BA;9;3323
BA;10;6885
BA;11;5069
BA;12;6024
BI;1;0
BI;2;33
BI;3;4973
BI;4;2785
BI;5;400
BI;6;299
BI;7;1857
BI;8;9657
BI;9;7466
BI;10;11898
BI;11;12659
BI;12;5625
BU;1;0
BU;2;19
BU;3;1248
BU;4;878
BU;5;99
BU;6;49
BU;7;208
BU;8;2009
BU;9;2903
BU;10;6837
BU;11;7124
BU;12;1849
C;1;0
C;2;12
C;3;2490
C;4;1431
C;5;140
C;6;24
C;7;192
C;8;3192
C;9;2693
C;10;5618
C;11;5555
C;12;5099
CA;1;0
CA;2;3
CA;3;950
CA;4;329
CA;5;39
CA;6;41
CA;7;119
CA;8;2220
CA;9;4190
CA;10;6843
CA;11;11310
CA;12;6103
CC;1;0
CC;2;9
CC;3;1449
CC;4;667
CC;5;101
CC;6;45
CC;7;101
CC;8;699
CC;9;2301
CC;10;3177
CC;11;2557
CC;12;3718
CE;1;0
CE;2;0
CE;3;88
CE;4;23
CE;5;42
CE;6;10
CE;7;5
CE;8;158
CE;9;388
CE;10;1290
CE;11;847
CE;12;274
CO;1;0
CO;2;2
CO;3;1036
CO;4;306
CO;5;28
CO;6;7
CO;7;271
CO;8;1818
CO;9;3746
CO;10;9305
CO;11;6916
CO;12;2735
CR;1;0
CR;2;10
CR;3;4571
CR;4;1365
CR;5;364
CR;6;266
CR;7;369
CR;8;1760
CR;9;4705
CR;10;3866
CR;11;3610
CR;12;5119
CS;1;0
CS;2;8
CS;3;1042
CS;4;465
CS;5;76
CS;6;50
CS;7;279
CS;8;1211
CS;9;1604
CS;10;3337
CS;11;3992
CS;12;5904
CU;1;0
CU;2;4
CU;3;1515
CU;4;573
CU;5;261
CU;6;61
CU;7;52
CU;8;446
CU;9;1482
CU;10;3200
CU;11;2568
CU;12;1466
GC;1;0
GC;2;5
GC;3;605
GC;4;96
GC;5;34
GC;6;59
GC;7;143
GC;8;4712
GC;9;3867
GC;10;1296
GC;11;994
GC;12;1608
GI;1;0
GI;2;12
GI;3;2093
GI;4;1678
GI;5;547
GI;6;273
GI;7;1092
GI;8;1886
GI;9;3623
GI;10;11764
GI;11;7340
GI;12;7841
GR;1;0
GR;2;5
GR;3;1899
GR;4;576
GR;5;52
GR;6;138
GR;7;398
GR;8;1706
GR;9;4385
GR;10;21722
GR;11;13030
GR;12;3290
GU;1;0
GU;2;7
GU;3;1192
GU;4;450
GU;5;112
GU;6;153
GU;7;204
GU;8;1480
GU;9;3232
GU;10;2809
GU;11;1548
GU;12;1874
H;1;0
H;2;1
H;3;314
H;4;97
H;5;4
H;6;14
H;7;47
H;8;281
H;9;825
H;10;3705
H;11;4699
H;12;2056
HU;1;0
HU;2;2
HU;3;450
HU;4;225
HU;5;133
HU;6;328
HU;7;1287
HU;8;1443
HU;9;1283
HU;10;4573
HU;11;2836
HU;12;904
J;1;0
J;2;5
J;3;1090
J;4;370
J;5;67
J;6;22
J;7;56
J;8;942
J;9;2795
J;10;9773
J;11;8212
J;12;3411
L;1;2
L;2;2
L;3;1180
L;4;750
L;5;516
L;6;1145
L;7;5411
L;8;2483
L;9;1618
L;10;4984
L;11;4199
L;12;3292
LE;1;0
LE;2;10
LE;3;1513
LE;4;1263
LE;5;163
LE;6;45
LE;7;54
LE;8;690
LE;9;3016
LE;10;7335
LE;11;5221
LE;12;1569
LO;1;0
LO;2;43
LO;3;2994
LO;4;903
LO;5;65
LO;6;26
LO;7;146
