Provincia;Densidad (hab/km2)
Albacete;26,01648352
Alicante;323,1713942
Almería;82,95669516
Álava;109,9571946
Asturias;96,07544323
Ávila;19,58559006
Badajoz;30,88013415
Baleares;234,6840946
Barcelona;743,1938406
Vizcaya;522,9783491
Burgos;25,02448923
Cáceres;19,72266962
Cádiz;167,2108871
Cantabria;109,5480173
Castellón;88,24442435
Ciudad Real;24,98586787
Córdoba;56,74613318
Coruña;141,108805
Cuenca;11,44334889
Guipúzcoa;367,2328283
Girona;132,2822335
Granada;72,67873804
Guadalajara;21,4503848
Huelva;51,76520537
Huesca;14,24194167
Jaén;46,78282454
León;29,29458956
Lleida;36,02670062
Lugo;33,27374188
Madrid;844,5301445
Málaga;230,7582809
Murcia;133,5735372
Navarra;63,63170051
Ourense;42,1627939
Palencia;19,91070542
Palmas, Las;278,1763404
Pontevedra;210,3243604
La Rioja;63,41209118
Salamanca;26,65951417
S. C. Tenerife;309,0467317
Segovia;22,17569715
Sevilla;138,9440724
Soria;8,624490588
Tarragona;129,5846422
Teruel;9,059824443
Toledo;45,78867925
Valencia;239,8329786
Valladolid;64,19839704
Zamora;16,15263706
Zaragoza;56,3001042
Ceuta;4,431684211
Melilla;6,698153846
