Provincia;Densidad (hab/km2);TempM;TotalCasos
A CORUÑA;141,108805;13,9833333333333;26446
ALBACETE;26,01648352;15,025;17396
ALICANTE/ALACANT;323,1713942;17,3833333333333;59470
ALMERIA;82,95669516;17,0666666666667;21783
ARABA/ALAVA;109,9571946;12,55;17539
ASTURIAS;96,07544323;12,7583333333333;27540
AVILA;19,58559006;12,3916666666667;6821
BADAJOZ;30,88013415;17,4083333333333;23755
BARCELONA;743,1938406;14,5666666666667;270240
BIZKAIA;522,9783491;14,35;57652
BURGOS;25,02448923;11,8416666666667;23223
CACERES;19,72266962;16,6833333333333;14824
CADIZ;167,2108871;18,4666666666667;32147
CANTABRIA;109,5480173;12,65;18238
CASTELLON/CASTELLÓ;88,24442435;15,25;17968
CEUTA;4,431684211;19,1083333333333;3125
CIUDAD REAL;24,98586787;16,15;26005
CORDOBA;56,74613318;17,75;26170
CUENCA;11,44334889;13,9666666666667;11628
GIPUZKOA;367,2328283;13,925;41074
GIRONA;132,2822335;14,2833333333333;38149
GRANADA;72,67873804;15,1833333333333;47201
GUADALAJARA;21,4503848;12,7583333333333;13061
HUELVA;51,76520537;18,3833333333333;12043
HUESCA;14,24194167;12,8666666666667;13464
ILLES BALEARS;234,6840946;17,7833333333333;36775
JAEN;46,78282454;17,0666666666667;26743
LA RIOJA;63,41209118;12,325;18696
LAS PALMAS;278,1763404;20,425;13419
LEON;29,29458956;11,2333333333333;20879
LLEIDA;36,02670062;12,4583333333333;25582
LUGO;33,27374188;12,9666666666667;7003
MADRID;844,5301445;14,4833333333333;408958
MALAGA;230,7582809;17,5083333333333;40388
MELILLA;6,698153846;19,975;4619
MURCIA;133,5735372;17,1166666666667;62134
NAVARRA;63,63170051;13,1833333333333;42799
OURENSE;42,1627939;12,7083333333333;8402
PALENCIA;19,91070542;11,7333333333333;9609
PONTEVEDRA;210,3243604;14,3666666666667;20884
SALAMANCA;26,65951417;13,2916666666667;17350
SANTA CRUZ DE TENERIFE;309,0467317;17,8833333333333;14011
SEGOVIA;22,17569715;12,7333333333333;7298
SEVILLA;138,9440724;18,85;60077
SORIA;8,624490588;11,5916666666667;4536
TARRAGONA;129,5846422;16,1;30610
TERUEL;9,059824443;12,475;7833
TOLEDO;45,78867925;16,0083333333333;40273
VALENCIA/VALÈNCIA;239,8329786;16,3583333333333;99656
VALLADOLID;64,19839704;13,1;31391
ZAMORA;16,15263706;12,8083333333333;8328
ZARAGOZA;56,3001042;14,6083333333333;58644
